approximated up-to levels: 
	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
9	35.022079999999406	35.01742666666614	35.02933333333279	35.01555999999941	35.01054666666616	35.03898666666608	35.0237866666662	35.019706666666195	35.025279999999526	35.021066666666115	35.03635999999943	35.029999999999376	35.028026666666065	35.02822666666608	35.02787999999943	35.02534666666615	35.04019999999937	35.02513333333274	35.03245333333273	35.00818666666608	35.02990666666612	35.032106666666046	35.02299999999943	35.02545333333285	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	
8	34.01838666666619	34.02130666666618	34.03245333333277	34.03106666666615	34.02350666666612	34.02530666666614	34.03086666666607	34.00806666666614	34.02894666666609	34.02427999999948	34.02049333333284	34.01354666666618	34.018199999999496	34.017799999999454	34.02157333333274	34.01819999999945	34.01887999999945	34.03715999999938	34.01933333333282	34.02311999999943	34.02033333333274	34.02538666666614	34.014666666666216	34.02721333333281	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	
7	33.03887999999935	33.02534666666611	33.02349333333268	33.02309333333284	33.033733333332776	33.02806666666612	33.02650666666611	33.02185333333284	33.022853333332705	33.01025333333283	33.03583999999938	33.01926666666603	33.03201333333276	33.026746666666085	33.03006666666612	33.02057333333285	33.0053466666662	33.03018666666604	33.03058666666605	33.02689333333276	33.02861333333274	33.0219199999994	33.02469333333276	33.01677333333282	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	
6	32.01365333333277	32.04123999999938	32.01495999999952	32.02666666666616	32.031306666666055	32.02583999999946	32.02830666666608	32.02898666666616	32.03853333333272	32.02061333333279	32.02338666666613	32.02149333333273	32.02529333333274	32.04097333333274	32.026799999999405	32.035293333332724	32.02003999999945	32.017746666666184	32.02078666666611	32.0215599999994	32.027413333332724	32.029426666666176	32.020199999999406	32.019133333332704	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	
5	31.033079999999387	31.02293333333276	31.02513333333276	31.025813333332735	31.03919999999937	31.036119999999457	31.025186666666087	31.025479999999405	31.02181333333275	31.029653333332725	31.03086666666607	31.02185333333278	31.013079999999455	31.023479999999452	31.02282666666609	31.019653333332805	31.02995999999942	31.037533333332718	31.027386666666047	31.046479999999384	31.030879999999392	31.030146666666056	31.021439999999387	31.01558666666618	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	
4	30.024253333332695	30.0376533333328	30.020479999999424	30.02473333333286	30.02061333333276	30.02203999999945	30.0375999999994	30.03042666666613	30.026893333332765	30.021773333332817	30.038319999999395	30.02301333333274	30.03761333333272	30.014746666666113	30.026786666666077	30.02803999999942	30.013346666666166	30.027653333332808	30.028773333332765	30.037586666666087	30.029293333332802	30.028386666666094	30.03431999999936	30.023973333332762	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	
3	52.04725333333218	52.045199999998886	52.03583999999877	52.04002666666557	52.04917333333216	52.04125333333229	52.06725333333216	52.065493333332086	52.044853333332156	52.04183999999873	52.055173333332135	52.077093333332186	52.04669333333214	52.05626666666545	52.049013333332255	52.049973333332304	52.0654666666654	52.06293333333224	52.07306666666534	52.042079999998876	52.064719999998545	52.044266666665465	52.033813333332205	52.049706666665614	30.040946666666102	31.019386666666094	32.01953333333275	33.01895999999944	34.017333333332836	35.03181333333274	36.02030666666619	37.01737333333276	38.035119999999424	39.02911999999942	40.017026666666155	41.0243466666662	42.01237333333282	43.02554666666618	44.01694666666614	45.02869333333271	46.02641333333271	47.02182666666599	48.02117333333271	49.02066666666613	50.031999999999414	51.02239999999949	52.02611999999945	53.019493333332804	54.02939999999943	55.02493333333281	56.03118666666607	
2	52.074026666665475	52.06453333333215	52.057493333332275	52.06042666666556	52.04898666666551	52.0564799999988	52.0467466666655	52.045759999998864	52.06365333333227	52.08045333333219	52.0628533333323	52.0211466666655	52.058133333332364	52.03450666666569	52.04877333333229	52.045599999998856	52.058986666665376	52.03141333333218	52.08010666666539	52.03381333333222	52.03794666666542	52.05634666666549	52.053359999998804	52.05599999999879	30.024653333332743	31.0340933333327	32.01949333333273	33.02429333333269	34.02665333333283	35.03117333333279	36.01717333333272	37.04321333333274	38.02110666666607	39.028053333332736	40.02306666666607	41.02555999999945	42.02265333333273	43.028213333332744	44.030359999999376	45.02587999999943	46.02341333333277	47.02337333333277	48.033453333332716	49.01882666666613	50.02685333333278	51.019679999999454	52.018279999999436	53.007333333332866	54.03195999999946	55.011466666666124	56.020359999999414	
1	52.064853333332195	52.03005333333212	52.05706666666569	52.04373333333214	52.043999999998974	52.05061333333215	52.06439999999874	52.05255999999895	52.04914666666572	52.01957333333243	52.07226666666551	52.03834666666572	52.08666666666552	52.06130666666557	52.04442666666543	52.04482666666553	52.04274666666565	52.05482666666532	52.03901333333218	52.060186666665544	52.0197066666658	52.0203466666656	52.04650666666549	52.04287999999889	30.015786666666138	31.026213333332677	32.03422666666606	33.03578666666605	34.02759999999945	35.02682666666611	36.02374666666608	37.020813333332754	38.03182666666607	39.029453333332754	40.022146666666146	41.02517333333274	42.014239999999546	43.027279999999394	44.01659999999947	45.03013333333277	46.02462666666605	47.02666666666612	48.02801333333272	49.02175999999943	50.02118666666611	51.03002666666612	52.0166533333328	53.022666666666055	54.02117333333274	55.029319999999444	56.02390666666605	
0	52.04343999999898	52.04882666666573	52.04845333333233	52.04610666666552	52.055519999998836	52.05847999999878	52.05989333333223	52.040826666665524	52.04906666666555	52.05042666666563	52.03122666666559	52.06274666666556	52.04863999999884	52.034986666665375	52.05455999999886	52.06533333333226	52.04623999999896	52.06266666666551	52.03509333333213	52.05154666666533	52.05927999999879	52.032826666665684	52.03477333333228	52.05290666666545	30.02433333333282	31.02957333333277	32.024173333332755	33.009359999999475	34.02487999999941	35.02053333333277	36.01741333333282	37.02981333333273	38.029026666666084	39.033493333332736	40.02383999999944	41.0288533333328	42.01369333333278	43.04473333333271	44.03469333333277	45.04229333333271	46.02645333333271	47.031813333332764	48.027559999999454	49.021146666666155	50.032959999999434	51.01811999999943	52.02493333333274	53.02313333333268	54.033559999999454	55.01803999999947	56.01577333333286	
