Expected total cost with zero initial inventory (Gn): 
	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	
50	188.30386130142367	187.00407626588267	185.2929861584857	183.04496007132616	180.1274678579264	176.43063398857456	171.90588661910093	166.59232246524653	160.6072012920723	154.1020290513532	147.21581781379092	140.0549696079902	132.7002186080985	125.22202379389113	117.6857049019599	110.16627373667149	102.72444042691592	95.41176669896993	88.26724681861612	81.31692697790234	74.57534483634393	68.14381551420519	62.30869131887585	57.44698982640737	53.80347813379838	51.3636741441856	49.906189479020355	49.140404467235385	48.81463855659377	48.75570611567102	48.85939189602646	49.06236483405979	49.321572481587104	49.60959576103733	49.914457140548194	50.232187640300985	50.55590378213436	50.8679568824429	51.14206442516761	51.35212555858386	51.48218935354529	51.53294030398698	51.52273043952917	51.483712712241115	51.4551255520104	51.476076712935495	51.57961994486682	51.789126562714195	52.11696915915041	52.5651618115105	53.12730358256029	53.791150226999214	54.54124283792647	55.36118967404884	56.23537968234686	57.150068072019295	58.09389375308429	59.05795761080171	60.0356124800414	61.0221026140802	62.01415824297453	63.00961362712428	64.00708422209752	65.00571446695115	66.00499276984425	67.00462285797192	68.00443845237085	69.00434907316955	70.00430697266306	71.00428771199124	72.00427915994997	73.0042754778951	74.00427394237937	75.00427332296954	76.00427308167363	77.00427299108019	78.00427295838028	79.00427294706745	80.00427294333015	81.004272942157	82.00427294180936	
49	188.87082645596885	187.60742570746166	185.94129231055445	183.74706199775054	180.89131914473572	177.26258454180498	172.81180782629437	167.5811889164001	161.69491377448665	155.3108938612317	148.56704616570596	141.55709627470085	134.3399488331968	126.96241255951792	119.47200193391778	111.93569058137503	104.41626544759734	96.97443615884903	89.66176472862146	82.51724599712682	75.56692666701704	68.92150917394574	62.87463770305863	57.808829086449876	53.97288167355074	51.35512405289375	49.735923320842495	48.82550749405168	48.37233324705197	48.20287271880311	48.212143235557214	48.33570755490535	48.52930878262753	48.764337202985864	49.02751549667301	49.3133436528938	49.61323705435802	49.90786239767217	50.16943745514254	50.37062492513546	50.494501428403915	50.5410066575533	50.5279317569315	50.48701375150727	50.457188363487234	50.47734614383915	50.58038979083568	50.78958717751645	51.11724161467143	51.56532173788322	52.127397389125534	52.7912058861887	53.54127690331472	54.36121175731532	55.23539525462489	56.15008018325394	57.09390406656687	58.05796701287205	59.03562143165373	60.02211134890028	61.01416687631112	62.00962221430152	63.0070927888921	64.00572302501304	65.00500132427636	66.00463141093886	67.00444700476211	68.00435762533944	69.00431552474878	70.00429626404485	71.00428771199125	72.00428402993136	73.0042824944135	74.00428187500275	75.00428163370634	76.00428154311271	77.00428151041281	78.00428149909992	79.00428149536263	80.00428149418946	81.00428149384163	
48	189.27144921323202	188.04129068982786	186.41983638033633	184.28366409020384	181.49966715165897	177.954023920773	173.59310705732494	168.45528014538368	162.66575853974874	156.3893112706419	149.77149061635265	142.9063640478558	135.84124595497886	128.6017904673717	121.21230522495318	113.7219269784877	106.18564391283549	98.66623944160266	91.22442311441128	83.91175880374563	76.76724354777753	69.91309018758376	63.65233107952347	58.37477538435041	54.334720914201554	51.524527589379204	49.72737322955067	48.655241335873804	48.05743627386834	47.76056740926138	47.65914680206594	47.68780672797543	47.801347061619026	47.9703338101251	48.18051590085379	48.4250059137127	48.69345582078546	48.964649090179385	49.20905353877387	49.39784838496921	49.51291657322656	49.55326224577442	49.53595410135627	49.492178868714156	49.46046068647247	49.47938682824859	49.58164370091755	49.79034754996864	50.11769793417282	50.56559410448704	51.12756049510645	51.79130531317252	52.541339938742055	53.36125441695204	54.2354267473188	55.15010569144802	56.0939264418857	57.05798778782736	58.03564140971833	59.022130940549324	60.01418628564845	61.0096415400001	62.007112077289285	63.0057422972311	64.00502058966087	65.00465067350409	66.00446626618496	67.00437688630369	68.00433478552833	69.0043155247488	70.00430697266302	71.00430329058895	72.0043017550648	73.00430113565098	74.00430089435342	75.00430080375907	76.0043007710589	77.00430075974579	78.00430075600853	79.00430075483527	80.00430075448755	
47	189.5666249197883	188.35747770338946	186.76820391771184	184.6793487552714	181.9609937978798	178.4997169198861	174.23777444321166	169.20570962787718	163.5218604886626	157.35075752517415	150.84536248914637	144.10867180888295	137.18947119101708	130.1025252153005	122.85142043419168	115.46203720577793	107.97175180624568	100.4355403803174	92.91618392077048	85.47439600152498	78.16174670666634	71.11340305040473	64.64391056443199	59.15246823601482	54.900667058798106	51.88636678938606	49.89677675820237	48.64669124458199	47.887170115690466	47.445670041515825	47.21660946151106	47.13388527320354	47.15159801015881	47.239908058735736	47.38404587636935	47.576025164454954	47.80378109788923	48.04407642939688	48.265404576428914	48.43721957265249	48.539983063371366	48.57155864055265	48.548111028659	48.50011865782527	48.465560319017804	48.48260976840089	48.583650604092114	48.79158152274289	49.118449885485546	49.56605111310098	50.12784046517125	50.791481082473155	51.54145560762747	52.3613361421873	53.23548971628578	54.150158529480116	55.09397393594291	56.05803253151013	57.035684773458016	58.02217362981212	59.01422865390008	60.009683759479664	61.007154229584074	62.00578441990897	63.00506269955349	64.00469277796225	65.00450836834983	66.00441898749715	67.0043768863037	68.0043576253395	69.00434907316964	70.00434539105615	71.00434385551331	72.00434323609048	73.00434299478864	74.0043429041923	75.00434287149127	76.00434286017787	77.00434285644036	78.00434285526704	79.00434285491932	
46	189.82117389909504	188.6199400269495	187.04605213866185	184.98484961530139	182.31209979916935	178.9190319884302	174.74842047636992	169.8249040043976	164.25617749683667	158.19778908824017	151.80200247189217	145.17991952611345	138.39017509552542	131.4496501191351	124.35143526783203	117.1006193068489	109.71150308512715	102.2214281697699	94.68536168702785	87.16609377211523	79.724354345846	72.50789349208762	65.84421841175985	60.1440459241687	55.67835934919181	52.452312773189355	50.25861592095793	48.81609476861598	47.87862002439864	47.27540252223045	46.90138000870523	46.69003035137348	46.59504799225571	46.5866565534765	46.650112963286574	46.77673276398833	46.952883680110745	47.15324706051554	47.34416843122124	47.493165715794085	47.57906649774612	47.59839004823411	47.56620525311375	47.51210519562182	47.47336531531061	47.48760932296722	47.58680654043203	47.79355030423654	48.11966939096924	48.56680703149923	49.12831523734036	49.79178878488515	50.54166608093948	51.361491237362074	52.23561396519902	53.15026598828378	54.09407247075087	55.05812643808215	56.03577633913031	57.022264041118554	58.014318510094704	59.009773355126995	60.007243705636434	61.00587384208713	62.00515209778885	63.004782165618586	64.00459775131364	65.00450836834986	66.00446626618492	67.00444700476211	68.00443845237083	69.00443477014899	70.00443323455282	71.00443261510408	72.0044323737897	73.00443228318757	74.00443225048384	75.00443223916922	76.0044322354312	77.00443223425773	78.00443223390985	
45	190.06691298531666	188.8669129853166	187.29720764987596	185.24677568028997	182.59721372173078	179.24704803747574	175.14506779278912	170.31645256491197	164.86145113447185	158.9229833181071	152.6432161281467	146.13258310576964	139.4584051417875	132.64794382431626	125.69673635932922	118.59926780254935	111.34915162050841	103.96059672560536	96.47091645707376	88.93509692280685	81.41596795563947	74.07046379594739	67.23869361574776	61.344348086681734	56.6699351526123	53.230004488183766	50.824561755557006	49.17793390454996	48.048023544566355	47.26684778909958	46.730650865961586	46.37299124585439	46.147597116578616	46.025323213702585	45.9920726915564	46.0389377769575	46.15094792951715	46.300722096425815	46.45235564635486	46.5712765414897	46.63450548537933	46.63703530300223	46.59265125688867	46.52987339192822	46.485094837942064	46.49522608997745	46.5916828183392	46.796639202931004	47.12161680500787	47.56804046116386	48.12911127438143	48.79232245298977	49.542045713044566	50.36178240665843	51.23585546757848	52.15048024580495	53.09427213395311	54.058318469958685	55.03596447618828	56.02245023729283	57.01450376090294	58.00995815490913	59.00742829390819	60.00605833234027	61.00533654283692	62.00496658973746	63.0047821656186	64.00469277796223	65.00465067350413	66.0046314109389	67.00462285797188	68.00461917545918	69.004617639717	70.00461702019605	71.00461677884651	72.00461668822777	73.00461665551634	74.00461664419831	75.00461664045875	76.00461663928468	77.00461663893653	
44	190.3067132300423	189.10671323004235	187.53748246081153	185.4895511443777	182.84817198094632	179.51838489295574	175.4575052280353	170.697691707908	165.33958331496984	159.5175220408436	153.35992678491016	146.96677013119427	140.40499298869221	133.7109575309247	126.89083340078373	119.94137311192803	112.84557015615685	105.59681627214205	98.20924124257323	90.72019105785816	83.18473795905005	75.76196781767528	68.80121609105527	62.73880398636813	57.87023021887489	54.2215778655115	51.60225272749183	49.74387954865596	48.409862634308176	47.4362377984995	46.72148468873718	46.199923711311676	45.82595040774514	45.571766801268076	45.424633679376406	45.375960590457204	45.40973720718578	45.49661971968964	45.59843588719415	45.67844808592155	45.71176062654252	45.69170117098982	45.63060524507747	45.55573353951337	45.50240319582554	45.506623514015686	45.59908755699743	45.80140697948412	46.12468091964951	46.57002749937918	47.13043191324847	47.79323964560573	48.5427239811279	49.36232232378487	50.23631708304673	51.150898562205036	52.094667060800504	53.05870105341358	54.036340692527624	55.022823239444676	56.014875171668756	57.01032879016536	58.00779855528484	59.00642841417648	60.005706538132216	61.00533654283691	62.005152097788866	63.00506269955354	64.00502058966084	65.00500132427636	66.00499276984425	67.00498908657495	68.00498755044711	69.00498693073318	70.00498668928924	71.0049865986254	72.00498656589293	73.00498655456545	74.00498655082177	75.00498654964593	76.00498654929694	
43	190.5346179695042	189.33461796950425	187.7653872002734	185.71771656105358	183.07812759977435	179.75522645584246	175.71325167099604	170.9936757309666	165.70462437318145	159.9805794459531	153.94068721057337	147.67077330214917	141.2274790432013	134.64713567754825	127.94518740802876	121.12873172959556	114.18283983382884	107.09002343611148	99.84347365832565	92.4573596485451	84.96919377902901	77.53040155527248	70.4925511042576	64.30124590849624	59.26465011654673	55.4218578040142	52.59382021436227	50.52156842466984	48.97580721610957	47.79803917462424	46.890075744277325	46.187856793915614	45.64727211791923	45.24275083724373	44.9637342092801	44.80256920047093	44.74258096054911	44.75264993471702	44.792414492253954	44.82299079901342	44.81754157034615	44.76765600166228	44.68409529555923	44.59269118783704	44.52748597289541	44.523379335498646	44.61014336612745	44.80865169557669	45.1294353036134	45.57319083545564	46.13260118873187	46.79480157756924	47.543923109760556	48.36330960249259	49.237183458649554	50.15169750056808	51.09542922571345	52.0594436006738	53.03707298735569	54.02355027327642	55.01559954540391	56.011051832015895	57.00852093258445	58.007150458650926	59.006428414176504	60.006058332340295	61.00587384208711	62.00578441990896	63.00574229723113	64.00572302501307	65.00571446695112	66.00571078177758	67.00570924466795	68.00570862445835	69.0057083827699	70.00570829198843	71.00570825920096	72.00570824784815	73.00570824409341	74.00570824291269	75.00570824256182	
42	190.74176539391544	189.54176539391548	187.97253462468467	185.92486398546475	183.28545471430382	179.96401649747565	175.92828885851347	171.22691782141214	165.97778010541822	160.32303383544453	154.38173921636636	148.23025674481877	141.91129615855348	135.45125688415013	128.86568409591678	122.17055865216697	115.36090797231081	108.42087500809272	101.33251828599988	94.08902703803787	86.70483975259472	79.31397774764999	72.26048981749764	65.99231210790751	60.826953369322375	56.81621041098888	53.794069825226124	51.5131233295395	49.75348819686212	48.363882892547075	47.25077974354776	46.3528185257692	45.62843299301823	45.05533681483086	44.626088103643085	44.33466758193461	44.164186025205815	44.082026484013554	44.045823132742065	44.014678383590955	43.959895423717334	43.87134164581192	43.75814367223011	43.644570042086436	43.56319714334905	43.54759349776826	43.62638492568194	43.81949840281592	44.136717405325456	44.578171907187254	45.1361306639804	45.797436035100596	46.546018200661656	47.36508699224877	48.23877790435181	49.15318891072488	50.09686382706959	51.06084749304791	52.038460565162815	53.024929302919574	54.01697413649527	55.01242412549665	56.00989203252251	57.00852093258448	58.00779855528485	59.00742829390821	60.007243705636434	61.00715422958408	62.00711207728928	63.00709278889214	64.00708422209753	65.00708053228777	66.00707899276523	67.00707837132735	68.00707812902856	69.00707803795143	70.00707800502408	71.00707799360721	72.00707798982363	73.00707798863036	74.00707798827418	
41	190.91788207642728	189.7178820764273	188.14865130719642	186.10098066797653	183.46157139681569	180.14027709975528	176.10585570515372	171.41042919273497	166.17919765270437	160.56427829653003	154.69244471562806	148.64001414927313	142.4405713598912	136.10702100469388	129.64514515433103	123.07064134579258	116.38691260200453	109.58742848008922	102.6554380702384	95.57283811009862	88.3331585535202	81.04752861193064	74.04278197640386	67.75948404670832	62.517578189771356	58.378271489695486	55.18829738507584	52.71331019596595	50.744993822765096	49.1412946502327	47.81496166881017	46.708739928025956	45.78498506306889	45.02598588608556	44.42846074132238	43.988759675480935	43.69027278195744	43.499245520342456	43.3716100143909	43.264722480048526	43.14824325598722	43.01045294561013	42.85887379360068	42.71613399373556	42.613176765751696	42.582015232250484	42.64988178274657	42.83551599181614	43.147739174611786	43.58593581951908	44.14181953472077	44.801833630793524	45.549630522826824	46.36823244187557	47.24165181268573	48.155908148673646	49.09949663765722	50.063432807010564	51.04102011702218	52.027474998726426	53.01951240039539	54.014958389865114	55.01242412549668	56.011051832015916	57.01032879016536	58.00995815490916	59.009773355127	60.00968375947969	61.009641540000125	62.00962221430154	63.009613627124324	64.00960992638757	65.00960838113099	66.00960775675223	67.00960751298108	68.00960742118457	69.00960738791481	70.00960737633886	71.00960737248337	72.00960737125848	73.00960737088865	
