	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
20	243.42313224984662	241.73195577925836	239.48082455753894	236.58152919641148	233.02231703245525	228.8907755209347	224.3451675206762	219.55114565888937	214.6325799824798	209.66097642855894	204.66097642855897	199.6609764285587	194.66097642855885	189.66097642855888	184.66097642855888	179.66097642855883	174.66097642855888	169.66097642855877	164.66097642855888	159.66097642855894	154.660976428559	149.66097642855885	144.6609764285588	139.6609764285589	134.6434724891958	129.51498579124018	124.09323729617122	118.20817269904117	111.82519775293065	105.06839997927305	98.43906677014117	92.72074133260533	88.48688932232412	85.80808653677909	84.38689621605168	83.84222202205899	83.88038997214144	84.31994602354544	85.05018832169394	85.98787187972441	87.05384366364595	88.16638657428035	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	104.52382856134783	106.96612533020793	396.67472511	
19	242.42343048134975	240.73225401076147	238.481122789042	235.58182742791453	232.02261526395836	227.89107375243782	223.34546575217922	218.55144389039242	213.63287821398285	208.661274660062	203.66127466006208	198.66127466006193	193.66127466006196	188.66127466006185	183.66127466006196	178.66127466006196	173.66127466006193	168.66127466006185	163.66127466006188	158.66127466006196	153.66127466006202	148.661274660062	143.66127466006196	138.66127466006188	133.66127466006193	128.64377072069877	123.51528402274332	118.09353552767433	112.20846484102735	105.82546602553921	99.36743064784672	93.63446463598326	89.26072314833031	86.37146960971005	84.70112159614737	83.88500632974296	83.6428703982734	83.8106978282928	84.29887624742013	85.04532604463309	85.98787187972441	87.05384366364595	88.16638657428035	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	104.52382856134783	396.67472511	
18	241.42472382134972	239.73354735076146	237.48241612904198	234.5831207679146	231.0239086039583	226.89236709243784	222.34675909217927	217.55273723039238	212.63417155398284	207.662568000062	202.66256800006195	197.66256800006198	192.6625680000619	187.662568000062	182.66256800006195	177.6625680000619	172.66256800006198	167.66256800006192	162.66256800006198	157.66256800006198	152.66256800006192	147.66256800006198	142.66256800006187	137.66256800006198	132.66256800006195	127.66256800006194	122.64506406069876	117.51657736274326	112.09481059912362	106.20966270351687	100.12530049439151	94.56344016762831	90.17484879595987	87.14546113394	85.26440520363981	84.19896225838946	83.68535514790608	83.57294588881118	83.78948664782848	84.29394274084996	85.045295374203	85.98786037831312	87.05383982984218	88.16638542413922	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	102.32697855954817	396.67472511	
17	240.4292394405829	238.73806296999462	236.48693174827508	233.58763638714765	230.02842422319148	225.89688271167094	221.35127471141234	216.55725284962548	211.63868717321597	206.66708361929508	201.66708361929494	196.667083619295	191.66708361929508	186.66708361929517	181.66708361929497	176.66708361929508	171.66708361929497	166.6670836192949	161.66708361929506	156.66708361929514	151.667083619295	146.66708361929503	141.66708361929506	136.667083619295	131.66708361929503	126.66708361929498	121.66708361929506	116.64957967993195	111.52105644487511	106.09911286002807	100.51228754287627	95.32352434768313	91.10533707686308	88.06019029325587	86.03799683904737	84.76117136400063	83.99811554200568	83.61450262117214	83.55116979073462	83.78426846882815	84.29378938869952	85.04523786714658	85.9878412092943	87.05383407913655	88.16638542413922	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	100.38796308123509	396.67472511	
16	239.44227985843563	237.7511033878474	235.49997216612778	232.6006768050004	229.04146464104414	224.90992312952372	220.36431512926518	215.57029326747832	210.6517275910687	205.6801240371477	200.68012403714778	195.6801240371479	190.68012403714778	185.68012403714783	180.6801240371478	175.6801240371477	170.68012403714792	165.68012403714786	160.68012403714786	155.6801240371478	150.68012403714778	145.6801240371478	140.68012403714792	135.68012403714786	130.68012403714786	125.68012403714788	120.68012403714776	115.68012403714786	110.66258356068336	105.53381629447563	100.40963631939347	95.71703555475963	91.87003494571606	88.99239719192971	86.95080942785809	85.53011915988364	84.55503087133306	83.92299598175394	83.59002320853713	83.54453435623894	83.78348025763837	84.293484445079	85.0451330977983	85.98780884204739	87.05383126980924	88.16638542413922	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	98.71347402057606	396.67472511	
15	238.47492942592032	236.78375295533203	234.53262173361247	231.63332637248513	228.07411420852893	223.94257269700836	219.39696469674988	214.60294283496305	209.68437715855322	204.71277360463236	199.71277360463253	194.71277360463253	189.7127736046325	184.71277360463242	179.71277360463233	174.71277360463253	169.7127736046325	164.71277360463247	159.71277360463247	154.71277360463245	149.7127736046325	144.71277360463245	139.71277360463256	134.71277360463253	129.7127736046325	124.71277360463249	119.71277360463246	114.71277360463246	109.71277360463249	104.69509870832101	99.86324636417262	95.63041604457989	92.27514220783601	89.76137889941856	87.8771694744872	86.42862038432885	85.30700649460418	84.46568214241645	83.88917064289176	83.57832635609647	83.54141166282821	83.78224054398761	84.29304830598817	85.04499538570887	85.98778823096086	87.05383126980924	88.16638542413922	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	97.30306023078542	396.67472511	
14	237.55024188809827	235.85906541751	233.60793419579048	230.70863883466305	227.14942667070676	223.01788515918622	218.47227715892765	213.67825529714085	208.75968962073136	203.78808606681037	198.78808606681025	193.78808606681037	188.7880860668103	183.7880860668104	178.7880860668104	173.78808606681042	168.78808606681034	163.78808606681034	158.7880860668104	153.78808606681045	148.7880860668104	143.7880860668104	138.78808606681034	133.78808606681045	128.78808606681045	123.78808606681035	118.78808606681044	113.78808606681037	108.78808606681035	103.7880860668104	99.06547025067448	95.11879514705268	92.2137306882499	90.17774101311218	88.63713824138225	87.32629998395569	86.16794752166881	85.18391010867342	84.40846203041879	83.86423819368672	83.56887418819217	83.53755790077693	83.78085289027477	84.29260108996559	85.04490262598269	85.98778823096086	87.05383126980924	88.16638542413922	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	96.1477126594211	396.67472511	
13	236.7132213369632	235.02204486637493	232.77091364465548	229.8716182835281	226.31240611957185	222.18086460805128	217.63525660779257	212.84123474600585	207.9226690695963	202.95106551567548	197.95106551567537	192.95106551567545	187.95106551567537	182.95106551567548	177.95106551567554	172.95106551567548	167.95106551567545	162.95106551567545	157.9510655156754	152.9510655156755	147.95106551567548	142.95106551567534	137.95106551567545	132.9510655156753	127.95106551567544	122.95106551567544	117.95106551567544	112.95106551567541	107.95106551567544	102.95106551567544	98.24175863726012	94.39122218587838	91.75266612938785	90.14723901853257	89.0557957690214	88.05196509701597	87.0060844331623	85.98341393343051	85.08015622747192	84.355495648841	83.84073353745524	83.55899793114354	83.53391181144006	83.77965286237753	84.292282486677	85.04490262598269	85.98778823096086	87.05383126980924	88.16638542413922	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	95.22860485796552	396.67472511	
12	236.047023039724	234.3558465691357	232.10471534741623	229.20541998628877	225.64620782233266	221.51466631081212	216.9690583105534	212.1750364487666	207.25647077235695	202.28486721843618	197.28486721843615	192.2848672184361	187.28486721843615	182.2848672184361	177.28486721843615	172.28486721843618	167.28486721843606	162.28486721843615	157.2848672184361	152.28486721843618	147.28486721843615	142.2848672184362	137.28486721843615	132.28486721843626	127.28486721843619	122.28486721843613	117.28486721843613	112.28486721843613	107.28486721843613	102.28486721843615	97.56705311381089	93.70430392151965	91.12360399932405	89.75488447201961	89.05230249671055	88.43322116264638	87.64080531769272	86.71737317629626	85.79634466649722	84.97526157865936	84.30534423423083	83.81924007405087	83.55093788236688	83.53122512851452	83.77884685749986	84.292282486677	85.04490262598269	85.98778823096086	87.05383126980924	88.16638542413922	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	94.51619547534078	396.67472511	
11	235.69521961748467	234.00404314689646	231.75291192517696	228.85361656404956	225.29440440009324	221.16286288857273	216.61725488831416	211.82323302652728	206.90466735011776	201.933063796197	196.93306379619685	191.93306379619696	186.9330637961969	181.93306379619693	176.9330637961969	171.93306379619693	166.933063796197	161.93306379619693	156.93306379619688	151.93306379619688	146.93306379619685	141.9330637961968	136.9330637961969	131.93306379619693	126.93306379619688	121.93306379619692	116.93306379619689	111.93306379619689	106.9330637961969	101.93306379619695	97.19959231520583	93.28136376760725	90.61799291085605	89.2366713242005	88.68452817296973	88.35575169749099	87.88209442555124	87.2053329200961	86.41859820354064	85.62401894321376	84.89126723588323	84.26934665875532	83.80574098324755	83.54643818543244	83.52987521943419	83.77884685749986	84.292282486677	85.04490262598269	85.98778823096086	87.05383126980924	88.16638542413922	89.2498076743135	90.24015613384574	91.09398243153683	91.79356812390144	92.34778573083254	92.78888580907885	93.16636102745056	93.53948001077657	93.97000568181207	396.67472511	
