[3.8846142857139903, 6.7932000000000405, 9.0, 5.709285714285734, 9.0, 0.0]
[2.0, 0.0, 0.0, 0.0, 0.0, -Infinity]
[9.0, 7.9883285714282515, 6.791014285714324, 5.709328571428591, 3.6665333333334145, 0.0]
[3.0, 3.0, 4.0, 3.0, 2.0, -Infinity]
[4.4998666666667475, 9.000000000000002, 4.4998666666667475, 7.499250000000702, 4.153499999998774, 0.0]
[2.0, 2.0, 3.0, 2.0, 2.0, -Infinity]
[7.514171428571476, 3.6665333333334145, 8.571085714285916, 7.05199999999844, 4.2083999999987025, 0.0]
[3.0, 3.0, 3.0, 3.0, 2.0, -Infinity]
[6.798814285714332, 6.796242857142901, 6.7963285714286155, 7.568499999998424, 6.797742857142903, 0.0]
[3.0, 3.0, 3.0, 3.0, 3.0, -Infinity]
[3.9118666666670436, 0.0, 9.0, 7.249400000000364, 0.0, 5.5664666666668445]
[2.0, -Infinity, 0.0, 0.0, -Infinity, -1.0]
[6.706133333332837, 7.8569285714287735, 6.499733333333496, 5.707014285714305, 4.666466666666844, 0.0]
[3.0, 9.0, 3.0, 3.0, 3.0, -Infinity]
[9.000000000000002, 7.175499999998224, 8.57057142857163, 8.751500000002936, 5.712457142857164, 0.0]
[0.0, 0.0, 0.0, 0.0, 2.0, -Infinity]
[4.4998666666667475, 0.0, 4.4998666666667475, 7.499250000000702, 0.0, 6.499733333333496]
[2.0, -Infinity, 3.0, 2.0, -Infinity, -1.0]
[4.4998666666667475, 6.499733333333496, 4.666466666666845, 6.499733333333496, 2.9735999999997906, 0.0]
[2.0, 3.0, 3.0, 3.0, 2.0, -Infinity]
[3.8852142857139924, 6.790500000000038, 9.0, 5.893571428571139, 9.0, 3.6665333333334145]
