4	[-17, -3]	[33, 22]	[34, 21]	[35, 20]	[36, 19]	
4	[-17, -2]	[33, 21]	[34, 20]	[35, 19]	[36, 18]	
4	[-17, -1]	[33, 20]	[34, 19]	[35, 18]	[36, 17]	
4	[-17, 0]	[33, 19]	[34, 18]	[35, 17]	[36, 16]	
4	[-17, 1]	[33, 18]	[34, 17]	[35, 16]	[36, 15]	
4	[-17, 2]	[33, 17]	[34, 16]	[35, 15]	[36, 14]	
4	[-16, -23]	[34, 40]	[35, 39]	
4	[-16, -22]	[33, 40]	[34, 39]	[35, 38]	
4	[-16, -21]	[32, 40]	[33, 39]	[34, 38]	[35, 37]	
4	[-16, -20]	[32, 39]	[33, 38]	[34, 37]	[35, 36]	
4	[-16, -19]	[32, 38]	[33, 37]	[34, 36]	[35, 35]	
4	[-16, -18]	[32, 37]	[33, 36]	[34, 35]	[35, 34]	
4	[-16, -17]	[32, 36]	[33, 35]	[34, 34]	[35, 33]	
4	[-16, -16]	[32, 35]	[33, 34]	[34, 33]	[35, 32]	
4	[-16, -15]	[32, 34]	[33, 33]	[34, 32]	[35, 31]	
4	[-16, -14]	[32, 33]	[33, 32]	[34, 31]	[35, 30]	
4	[-16, -13]	[32, 32]	[33, 31]	[34, 30]	[35, 29]	
4	[-16, -12]	[32, 31]	[33, 30]	[34, 29]	[35, 28]	
4	[-16, -11]	[32, 30]	[33, 29]	[34, 28]	[35, 27]	
4	[-16, -10]	[32, 29]	[33, 28]	[34, 27]	[35, 26]	
4	[-16, -9]	[32, 28]	[33, 27]	[34, 26]	[35, 25]	
4	[-16, -8]	[32, 27]	[33, 26]	[34, 25]	[35, 24]	
4	[-16, -7]	[32, 26]	[33, 25]	[34, 24]	[35, 23]	
4	[-16, -6]	[32, 25]	[33, 24]	[34, 23]	[35, 22]	
4	[-16, -5]	[32, 24]	[33, 23]	[34, 22]	[35, 21]	
4	[-16, -4]	[32, 23]	[33, 22]	[34, 21]	[35, 20]	
4	[-16, -3]	[32, 22]	[33, 21]	[34, 20]	[35, 19]	
4	[-16, -2]	[32, 21]	[33, 20]	[34, 19]	[35, 18]	
4	[-16, -1]	[32, 20]	[33, 19]	[34, 18]	[35, 17]	
4	[-16, 0]	[32, 19]	[33, 18]	[34, 17]	[35, 16]	
4	[-16, 1]	[32, 18]	[33, 17]	[34, 16]	[35, 15]	
4	[-16, 2]	[32, 17]	[33, 16]	[34, 15]	[35, 14]	
4	[-15, -23]	[33, 40]	[34, 39]	
4	[-15, -22]	[32, 40]	[33, 39]	[34, 38]	
4	[-15, -21]	[31, 40]	[32, 39]	[33, 38]	[34, 37]	
4	[-15, -20]	[31, 39]	[32, 38]	[33, 37]	[34, 36]	
4	[-15, -19]	[31, 38]	[32, 37]	[33, 36]	[34, 35]	
4	[-15, -18]	[31, 37]	[32, 36]	[33, 35]	[34, 34]	
4	[-15, -17]	[31, 36]	[32, 35]	[33, 34]	[34, 33]	
4	[-15, -16]	[31, 35]	[32, 34]	[33, 33]	[34, 32]	
4	[-15, -15]	[31, 34]	[32, 33]	[33, 32]	[34, 31]	
4	[-15, -14]	[31, 33]	[32, 32]	[33, 31]	[34, 30]	
4	[-15, -13]	[31, 32]	[32, 31]	[33, 30]	[34, 29]	
4	[-15, -12]	[31, 31]	[32, 30]	[33, 29]	[34, 28]	
4	[-15, -11]	[31, 30]	[32, 29]	[33, 28]	[34, 27]	
4	[-15, -10]	[31, 29]	[32, 28]	[33, 27]	[34, 26]	
4	[-15, -9]	[31, 28]	[32, 27]	[33, 26]	[34, 25]	
4	[-15, -8]	[31, 27]	[32, 26]	[33, 25]	[34, 24]	
4	[-15, -7]	[31, 26]	[32, 25]	[33, 24]	[34, 23]	
4	[-15, -6]	[31, 25]	[32, 24]	[33, 23]	[34, 22]	
4	[-15, -5]	[31, 24]	[32, 23]	[33, 22]	[34, 21]	
4	[-15, -4]	[31, 23]	[32, 22]	[33, 21]	[34, 20]	
4	[-15, -3]	[31, 22]	[32, 21]	[33, 20]	[34, 19]	
4	[-15, -2]	[31, 21]	[32, 20]	[33, 19]	[34, 18]	
4	[-15, -1]	[31, 20]	[32, 19]	[33, 18]	[34, 17]	
4	[-15, 0]	[31, 19]	[32, 18]	[33, 17]	[34, 16]	
